game_id,rating
2,2004.0496758438264
7,1853.0722866095343
11,1969.7719531466755
14,1825.7891706890675
27,1959.1474688115318
28,1997.346381992679
32,1911.26606172337
40,1880.8319638557605
41,1747.431709411849
44,1739.1106743742682
55,1949.0303419447257
57,1748.140035315186
60,1846.955078481027
61,1957.5133882160546
62,1860.1995059146645
63,1931.3690102558512
65,1929.0684117945884
68,1958.8879755285493
69,1863.5703903389096
70,1905.961937273494
78,1643.3355623327152
82,1800.3857900318774
85,1723.9009706530353
86,1902.3026928619192
90,1784.991460381946
91,1858.826320339497
92,1964.1516277007283
93,2053.787613208305
94,1640.375595576685
100,1789.0156861945654
102,1922.40593817675
103,1780.9496046357358
107,1920.9931412196304
110,1825.8719862742614
119,1939.3817560203252
121,1867.7069469833823
125,1978.2294312440577
130,1749.5494544629626
131,1852.31595260289
135,1700.2273089421687
137,1982.3006753179166
138,1622.4860464314074
139,1877.3116001614974
145,1929.0679509048875
151,1821.349725019998
152,1823.4699730319282
155,2027.0703012968502
161,1781.8221093872576
162,1785.9251729925452
167,2000.5861408426376
168,1945.9352168894468
173,1813.1816613683736
175,1969.2994361667975
177,1801.6773910808029
184,1586.6055314198725
188,1868.9421312725983
191,1739.305078161965
195,1947.9953902766247
198,1785.1625730801784
200,2042.740681333105
201,1967.868035569057
206,1937.0399266211787
207,1987.5943404835853
208,1809.2325556925273
212,1901.9958499367851
213,1868.6045987794698
219,1908.404409336983
221,1874.2908857884847
223,1791.0347501774027
230,2004.5585115948002
231,1815.0694108350162
232,1985.228652761577
235,1696.955538676032
238,1919.5346146366014
239,1826.1844051685107
240,1881.0679447899404
243,1797.4498012975637
244,1890.9594715339783
251,1647.7287998674456
255,1999.0792528008415
256,1798.3317036860888
258,1923.9700028607056
259,1780.4362727727755
261,1851.5559222776396
262,2036.1907282844627
263,1574.0304445134384
264,1819.6307832099608
265,1800.328554134782
269,1873.5866189357196
270,1761.0536243017955
273,1962.2477402255522
276,1710.049042798025
278,1903.4956644801218
281,1991.745932304249
